;Gender;Age;Residence;Education;Occupation;Environmental_affect;Everyday_affect;Time_to_degrade;Recycling_symbol;Microplastic_in_food;Chemical_absorbtion;Recycle_plastic;Product_use;usage_reason;plastic_over_other;purchase_behaviour;ensure_biodegradable;microwavesafe;takeyourbag;location_of_usage;food_in_bag;bag_reuse;bottle_reuse;cleaning_responsibility;dispose_outdoor;waste_around_you;disposal_behaviour;special_bins;negative_impact;teaching_kids;awareness_source;way_to_reduce;willing_to_adopt;alternatives;survival_without_plastic
23;Female;Young;Iqbal Town;University;Businessman;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;500 years;No;Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,  Food containers,                                   Slipper,                                 Utensil;Price is Low,                         Lightweight;Usually;1- 10;Usually;Often;Usually;Outdoor;Usually;more than 5;Few weeks;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
24;Male;Young;Data gunj buksh;University;Student;Agree;Sewage System;Never degrade;No;Agree;Strongly Agree;Agree;Bottle,                          Bags,  Food containers,                                   Slipper,                                 Utensil;Price is Low,        Easily Available;Sometimes;Not at all;Usually;Always;Never;Outdoor;Usually;Don’t reuse;Few weeks;Always;Dump in near by trash can;Ignore it;Open Dumping;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Institute;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
25;Female;Middle Aged;Iqbal Town;College;Businessman;Strongly Agree;Deterioration of Natural Beauty;500 years;Yes;Agree;Agree;Strongly Agree;Utensil;Other;Often;1- 10;Sometimes;Usually;Usually;Home;Usually;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Agree
26;Female;Middle Aged;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;I never saw it;Neutral;Agree;Disagree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Often;11 - 25;Never;Usually;Sometimes;Home;Always;One time;Few months;Often;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
27;Female;Middle Aged;Ravi;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Neutral;Agree;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,                         Lightweight,        Easily Available;Often;11 - 25;Sometimes;Often;Sometimes;Home;Usually;more than 5;Few weeks;Often;Dump in near by trash can;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
28;Female;Young;Cantonement;College;Housewife;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,  Food containers,                    Snack Bag,                                 Utensil;Price is Low,        Easily Available;Sometimes;1- 10;Often;Usually;Always;Home;Often;Don’t reuse;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Always pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Family /friends;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
29;Male;Young;Samnabad;University;Employee;Strongly Agree;Deterioration of Natural Beauty,             Sewage System,                  Local economy;500 years;No;Agree;Neutral;Strongly Agree;Bottle,                          Bags,  Food containers,                    Snack Bag;Easily Available;Never;1- 10;Never;Never;Sometimes;Home;Always;One time;Few months;Always;Dump in near by trash can;Ignore it;Sell;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
30;Female;Young;Iqbal Town;University;Housewife;Strongly Agree;Marine life,                            Health,             Sewage System;Never degrade;No;Agree;Strongly Agree;Strongly Agree;Food containers,                                   Slipper;Price is Low;Sometimes;Not at all;Never;Often;Often;Home;Sometimes;Don’t reuse;One time;Always;Dump in near by trash can;Ignore it;Sort through proper channels;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
31;Male;Young;Ravi;University;Employee;Agree;Marine life,                            Health,             Sewage System;Never degrade;No;Neutral;Agree;Agree;Bottle,                          Bags,                                  Bowls,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Sometimes;1- 10;Usually;Never;Sometimes;Home;Often;more than 5;Few weeks;Always;Dump in near by trash can;Ignore it;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Own experience;Individual behavior change;Agree;Cloth bag;Strongly Agree
32;Female;Young;Shalamar;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;500 years;Yes;Strongly Agree;Strongly Agree;Neutral;Bottle,                          Bags,  Food containers,                                  Bowls,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Often;11 - 25;Usually;Usually;Usually;Outdoor;Sometimes;more than 5;Few weeks;Always;Dump in near by trash can;Always pick it up;Open Dumping;Yes;I think about negative impact and look for the alternative;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
33;Female;Young;Samnabad;University;Employee;Strongly Agree;Marine life,                            Health,             Sewage System;500 years;I never saw it;Agree;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                    Snack Bag,                                 Utensil;Easily Available;Usually;11 - 25;Never;Usually;Sometimes;Home;Always;One time;Few weeks;Often;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Neutral
34;Female;Young;Iqbal Town;University;Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;500 years;No;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                    Snack Bag;Easily Available;Always;1- 10;Never;Usually;Usually;Home;Always;more than 5;Few months;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
35;Female;Young;Iqbal Town;University;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty;500 years;No;Agree;Neutral;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,                         Lightweight,        Easily Available;Sometimes;Not at all;Never;Never;Never;Home;Always;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
36;Female;Young;Shalamar;University;Employee;Strongly Agree;Marine life,                            Health;Never degrade;I never saw it;Agree;Strongly Disagree;Neutral;Bottle,                              Buckets,  Food containers,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Often;1- 10;Never;Never;Often;Home;Usually;more than 5;Few months;Always;Dump in near by trash can;Ignore it;Open Dumping;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Own experience;Government regulations and bans;Neutral;No, I am okay with plastic;Agree
37;Male;Young;Nishter;University;Unemployed;Agree;Marine life,             Sewage System;Don’t know;No;Neutral;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,                                   Slipper;Price is Low,                         Lightweight;Sometimes;11 - 25;Never;Never;Sometimes;Outdoor;Usually;more than 5;Few months;Usually;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Corporate responsibility and sustainability initiatives;Agree;Cloth bag;Strongly Agree
38;Female;Young;Iqbal Town;College;Student;Agree;Sewage System;Don’t know;No;Agree;Agree;Neutral;Bottle;Price is Low;Usually;Not at all;Never;Sometimes;Never;Home;Usually;One time;One time;Always;Dump in near by trash can;Always pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Own experience;Corporate responsibility and sustainability initiatives;Agree;Cloth bag;Neutral
39;Male;Young;Iqbal Town;College;Student;Strongly Agree;Health,          Deterioration of Natural Beauty,             Sewage System;500 years;I never saw it;Neutral;Neutral;Agree;Bottle,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Other;Sometimes;1- 10;Never;Usually;Never;Home;Often;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Own experience;Government regulations and bans;Agree;Cloth bag;Disagree
40;Female;Young;Iqbal Town;University;Businessman;Strongly Agree;Marine life;500 years;No;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,  Food containers,                                 Utensil;Lightweight;Usually;1- 10;Often;Often;Usually;Home;Always;One time;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Strongly Agree
41;Female;Young;Samnabad;University;Working Student;Strongly Agree;Marine life,                            Health;Never degrade;Yes;Strongly Agree;Strongly Agree;Agree;Bottle,                          Bags,                                   Slipper,                    Snack Bag;Easily Available;Usually;1- 10;Sometimes;Never;Never;Home;Usually;more than 5;Few weeks;Always;Dump in near by trash can;Ignore it;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Institute;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
42;Female;Young;Samnabad;University;Working Student;Neutral;Health;50 years;No;Neutral;Neutral;Neutral;Buckets;Easily Available;Often;11 - 25;Often;Often;Often;Outdoor;Often;more than 5;Few weeks;Often;Dump in near by trash can;Always pick it up;Burying;Yes;I think about negative impact of plastic but I buy it anyways;Yes;News;Government regulations and bans;Neutral;Glass;Strongly Agree
43;Female;Young;Samnabad;University;Employee;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Neutral;Agree;Agree;Bottle,                          Bags,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Easily Available;Sometimes;11 - 25;Never;Usually;Often;Home;Often;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;No;Social media;Individual behavior change;Agree;Cloth bag;Agree
44;Female;Young;Iqbal Town;College;Student;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;No;Agree;Agree;Agree;Bottle,                          Bags,                              Buckets,                                  Bowls,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Usually;1- 10;Often;Often;Usually;Home;Usually;Don’t reuse;Few weeks;Always;Dump in near by trash can;Always pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Corporate responsibility and sustainability initiatives;Agree;Cloth bag;Agree
45;Male;Middle Aged;Ravi;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Strongly Agree;Strongly Agree;Disagree;Bottle,                          Bags,  Food containers,                                   Slipper,                                 Utensil;Price is Low,        Easily Available,               No Alternatives;Usually;11 - 25;Never;Sometimes;Never;Home;Usually;One time;Few weeks;Usually;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Burning;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
46;Female;Young;Iqbal Town;University;Student;Agree;Marine life;50 years;No;Agree;Agree;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls;Price is Low,                         Lightweight,        Easily Available;Always;1- 10;Always;Always;Always;Home;Always;One time;Few months;Sometimes;Carry it with you to dispose of later or when you reach home;Always pick it up;Open Dumping;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
47;Female;Young;Iqbal Town;University;Employee;Agree;Deterioration of Natural Beauty;Never degrade;Yes;Agree;Agree;Agree;Bags;Lightweight;Usually;1- 10;Never;Sometimes;Sometimes;Home;Usually;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I don't think about the negative impact of plastic;Yes;News;Other;Agree;Cloth bag;Agree
48;Female;Young;Iqbal Town;University;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;500 years;Yes;Strongly Agree;Neutral;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag;Price is Low,                         Lightweight,        Easily Available;Sometimes;11 - 25;Never;Never;Often;Outdoor;Usually;more than 5;One time;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Institute;Government regulations and bans;Agree;Paper bag;Disagree
49;Female;Young;Data gunj buksh;College;Employee;Agree;Marine life,                            Health;Don’t know;I never saw it;Neutral;Strongly Agree;Agree;Bottle,                          Bags,                              Buckets,                                   Slipper;Lightweight;Sometimes;1- 10;Often;Sometimes;Sometimes;Office;Always;One time;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Institute;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
50;Female;Young;Shalamar;University;Housewife;Strongly Agree;Health,          Deterioration of Natural Beauty,             Sewage System;500 years;No;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper;Price is Low,                         Lightweight,        Easily Available;Sometimes;Not at all;Sometimes;Usually;Usually;Outdoor;Often;more than 5;Few months;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;News;Individual behavior change;Strongly Agree;Cloth bag;Agree
51;Female;Young;Cantonement;University;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Strongly Agree;Disagree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available,               No Alternatives;Sometimes;11 - 25;Never;Never;Never;Home;Usually;One time;Few weeks;Usually;Carry it with you to dispose of later or when you reach home;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Agree
52;Female;Young;Iqbal Town;University;Student;Strongly Agree;Marine life,                            Health;Don’t know;No;Agree;Strongly Agree;Disagree;Bottle,                              Buckets;Lightweight;Sometimes;1- 10;Usually;Always;Sometimes;Home;Never;Don’t reuse;Few months;Usually;Dump in near by trash can;Sometimes pick it up;Sell;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Paper bag;Strongly Agree
53;Female;Young;Samnabad;University;Student;Strongly Agree;Marine life,                            Health,             Sewage System;Never degrade;No;Neutral;Strongly Agree;Strongly Agree;Bottle,                              Buckets,  Food containers,                    Snack Bag;Price is Low,        Easily Available;Sometimes;1- 10;Always;Always;Never;Outdoor;Never;more than 5;Few months;Always;Dump in near by trash can;Always pick it up;Burying;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Campaigns;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
